base_name,battery_percent_final,charging_minutes,current_node_final,deliveries_made,drone_id,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,flight_minutes,minutos_simulacion,role,semilla,simulacion,status_final,utilizacion_operativa_pct,utilizacion_vuelo_pct
Hospital Universitario Infanta Elena,100.0,40,Hospital Universitario Fundación Alcorcón,2,H013,estres_1_base,Base,1.0,1.0,45,20160,hospital,70,3,available,0.42162698412698413,0.2232142857142857
Hospital Universitario Infanta Elena,100.0,0,Hospital Universitario Infanta Elena,0,H014,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario Infanta Elena,100.0,0,Hospital Universitario Infanta Elena,0,H015,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario Infanta Sofía,62.846934246896865,0,Hospital Infantil Universitario Niño Jesús,3,H016,estres_1_base,Base,1.0,1.0,23,20160,hospital,70,3,available,0.1140873015873016,0.1140873015873016
Hospital Universitario Infanta Sofía,77.55935890783394,0,Hospital Universitario Infanta Leonor,1,H017,estres_1_base,Base,1.0,1.0,20,20160,hospital,70,3,available,0.0992063492063492,0.0992063492063492
Hospital Universitario José Germain,88.08552140734774,0,Hospital Universitario de Móstoles,1,H018,estres_1_base,Base,1.0,1.0,7,20160,hospital,70,3,available,0.034722222222222224,0.034722222222222224
Hospital Universitario La Paz,51.47144267842232,0,Hospital Universitario del Sureste,2,H019,estres_1_base,Base,1.0,1.0,27,20160,hospital,70,3,available,0.13392857142857142,0.13392857142857142
Hospital Universitario Príncipe de Asturias,100.0,0,Hospital Universitario Príncipe de Asturias,0,H020,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,77.76516935718672,0,Hospital Universitario de Getafe,1,H021,estres_1_base,Base,1.0,1.0,13,20160,hospital,70,3,available,0.06448412698412698,0.06448412698412698
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H022,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H023,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario Ramón y Cajal,64.71675108079023,0,Hospital Universitario Fundación Alcorcón,1,H024,estres_1_base,Base,1.0,1.0,32,20160,hospital,70,3,available,0.15873015873015872,0.15873015873015872
BASE NOROESTE,40.86805353491943,1078,BASE NOROESTE,155,B001,estres_1_base,Base,1.0,1.0,1346,20160,base,71,4,available,12.023809523809524,6.676587301587301
BASE NOROESTE,100.0,1120,BASE NOROESTE,149,B002,estres_1_base,Base,1.0,1.0,1334,20160,base,71,4,available,12.172619047619047,6.617063492063492
