base_name,battery_percent_final,charging_minutes,current_node_final,deliveries_made,drone_id,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,flight_minutes,minutos_simulacion,role,semilla,simulacion,status_final,utilizacion_operativa_pct,utilizacion_vuelo_pct
Hospital Universitario del Sureste,71.09087007451316,0,Hospital Universitario Santa Cristina,1,H010,estres_1_base,Base,1.0,1.0,15,20160,hospital,70,3,available,0.0744047619047619,0.0744047619047619
Hospital Universitario Infanta Cristina,100.0,57,Hospital Virgen de la Torre,3,H011,estres_1_base,Base,1.0,1.0,50,20160,hospital,70,3,available,0.5307539682539683,0.248015873015873
Hospital Universitario Infanta Elena,100.0,50,Hospital Universitario Fundación Alcorcón,2,H012,estres_1_base,Base,1.0,1.0,45,20160,hospital,70,3,available,0.4712301587301587,0.2232142857142857
Hospital Universitario Infanta Sofía,62.846934246896865,0,Hospital Infantil Universitario Niño Jesús,3,H013,estres_1_base,Base,1.0,1.0,23,20160,hospital,70,3,available,0.1140873015873016,0.1140873015873016
Hospital Universitario Infanta Sofía,77.55935890783394,0,Hospital Universitario Infanta Leonor,1,H014,estres_1_base,Base,1.0,1.0,20,20160,hospital,70,3,available,0.0992063492063492,0.0992063492063492
Hospital Universitario José Germain,88.08552140734774,0,Hospital Universitario de Móstoles,1,H015,estres_1_base,Base,1.0,1.0,7,20160,hospital,70,3,available,0.034722222222222224,0.034722222222222224
Hospital Universitario La Paz,51.47144267842232,0,Hospital Universitario del Sureste,2,H016,estres_1_base,Base,1.0,1.0,27,20160,hospital,70,3,available,0.13392857142857142,0.13392857142857142
Hospital Universitario Príncipe de Asturias,100.0,0,Hospital Universitario Príncipe de Asturias,0,H017,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,77.76516935718672,0,Hospital Universitario de Getafe,1,H018,estres_1_base,Base,1.0,1.0,13,20160,hospital,70,3,available,0.06448412698412698,0.06448412698412698
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H019,estres_1_base,Base,1.0,1.0,0,20160,hospital,70,3,available,0.0,0.0
Hospital Universitario Ramón y Cajal,64.71675108079023,0,Hospital Universitario Fundación Alcorcón,1,H020,estres_1_base,Base,1.0,1.0,32,20160,hospital,70,3,available,0.15873015873015872,0.15873015873015872
BASE NOROESTE,63.58887032979648,1343,BASE NOROESTE,152,B001,estres_1_base,Base,1.0,1.0,1334,20160,base,71,4,available,13.278769841269842,6.617063492063492
BASE NOROESTE,72.90116063135288,1402,BASE NOROESTE,152,B002,estres_1_base,Base,1.0,1.0,1352,20160,base,71,4,available,13.660714285714285,6.7063492063492065
BASE NORTE CAPITAL,32.98743087877071,3026,BASE NORTE CAPITAL,327,B003,estres_1_base,Base,1.0,1.0,2992,20160,base,71,4,available,29.851190476190474,14.841269841269842
BASE NORTE CAPITAL,33.25870534828427,3420,BASE NORTE CAPITAL,370,B004,estres_1_base,Base,1.0,1.0,3386,20160,base,71,4,available,33.75992063492064,16.79563492063492
BASE NORTE CAPITAL,78.06818351271632,3057,BASE NORTE CAPITAL,328,B005,estres_1_base,Base,1.0,1.0,3046,20160,base,71,4,available,30.27281746031746,15.109126984126982
BASE NORTE CAPITAL,100.0,3329,BASE NORTE CAPITAL,359,B006,estres_1_base,Base,1.0,1.0,3270,20160,base,71,4,available,32.733134920634924,16.220238095238095
BASE ESTE CORREDOR,51.84296940360654,1278,BASE ESTE CORREDOR,90,B007,estres_1_base,Base,1.0,1.0,1288,20160,base,71,4,available,12.728174603174603,6.388888888888888
BASE ESTE CORREDOR,23.60833678935183,1217,BASE ESTE CORREDOR,77,B008,estres_1_base,Base,1.0,1.0,1284,20160,base,71,4,available,12.405753968253968,6.369047619047619
BASE ESTE CORREDOR,52.19737223256419,1550,BASE ESTE CORREDOR,99,B009,estres_1_base,Base,1.0,1.0,1522,20160,base,71,4,available,15.238095238095239,7.549603174603174
BASE ESTE CORREDOR,59.01038534100762,1856,BASE ESTE CORREDOR,113,B010,estres_1_base,Base,1.0,1.0,1778,20160,base,71,4,available,18.025793650793652,8.819444444444445
BASE SUR FUENLABRADA,47.22493558524564,2088,BASE SUR FUENLABRADA,230,B011,estres_1_base,Base,1.0,1.0,2042,20160,base,71,4,available,20.48611111111111,10.128968253968255
BASE SUR FUENLABRADA,49.04011670289788,2509,BASE SUR FUENLABRADA,255,B012,estres_1_base,Base,1.0,1.0,2436,20160,base,71,4,available,24.528769841269842,12.083333333333334
BASE SUR FUENLABRADA,32.99401364531499,1985,BASE SUR FUENLABRADA,211,B013,estres_1_base,Base,1.0,1.0,1946,20160,base,71,4,available,19.499007936507937,9.652777777777779
Hospital Asociado Universitario Guadarrama,67.05557864947107,57,Hospital Universitario Infanta Elena,3,H001,estres_1_base,Base,1.0,1.0,87,20160,hospital,71,4,available,0.7142857142857143,0.43154761904761907
